,RouteName,PriceStart,BusesCount,FirstBus,LastBus,BookNow,RouteLink
350,Bareilly to Haridwar,From INR 412,8 bus options,First Bus : 00:51,Last Bus : 22:05,BOOK NOW,https://www.redbus.in/bus-tickets/bareilly-to-haridwar
351,Delhi to Agra,From INR 295,28 bus options,First Bus : 03:10,Last Bus : 20:00,BOOK NOW,https://www.redbus.in/bus-tickets/delhi-to-agra
352,Delhi to Shahjahanpur (Uttar Pradesh),From INR 529,39 bus options,First Bus : 05:00,Last Bus : 23:00,BOOK NOW,https://www.redbus.in/bus-tickets/delhi-to-shahjahanpur
353,Agra to Delhi,From INR 295,49 bus options,First Bus : 03:45,Last Bus : 23:55,BOOK NOW,https://www.redbus.in/bus-tickets/agra-to-delhi
354,Lucknow to Ballia,From INR 575,8 bus options,First Bus : 10:00,Last Bus : 23:00,BOOK NOW,https://www.redbus.in/bus-tickets/lucknow-to-ballia
355,Bareilly to Dehradun,From INR 511,7 bus options,First Bus : 00:51,Last Bus : 22:05,BOOK NOW,https://www.redbus.in/bus-tickets/bareilly-to-dehradun
356,Allahabad to Azamgarh,From INR 246,12 bus options,First Bus : 06:30,Last Bus : 20:00,BOOK NOW,https://www.redbus.in/bus-tickets/allahabad-to-azamgarh
357,Kanpur (Uttar Pradesh) to Bareilly,From INR 389,17 bus options,First Bus : 00:10,Last Bus : 23:03,BOOK NOW,https://www.redbus.in/bus-tickets/kanpur-to-bareilly
358,Lucknow to Ayodhya,From INR 195,134 bus options,First Bus : 00:01,Last Bus : 23:10,BOOK NOW,https://www.redbus.in/bus-tickets/lucknow-to-ayodhya
359,Aligarh (uttar pradesh) to Lucknow,From INR 571,9 bus options,First Bus : 08:00,Last Bus : 21:30,BOOK NOW,https://www.redbus.in/bus-tickets/aligarh-to-lucknow
360,Aligarh (uttar pradesh) to Agra,From INR 136,40 bus options,First Bus : 00:30,Last Bus : 21:30,BOOK NOW,https://www.redbus.in/bus-tickets/aligarh-to-agra
361,Lucknow to Haridwar,From INR 776,5 bus options,First Bus : 13:00,Last Bus : 21:01,BOOK NOW,https://www.redbus.in/bus-tickets/lucknow-to-haridwar
362,Lucknow to Kanpur (Uttar Pradesh),From INR 142,140 bus options,First Bus : 00:17,Last Bus : 23:55,BOOK NOW,https://www.redbus.in/bus-tickets/lucknow-to-kanpur
363,Lucknow to Aligarh (uttar pradesh),From INR 707,4 bus options,First Bus : 08:00,Last Bus : 22:30,BOOK NOW,https://www.redbus.in/bus-tickets/lucknow-to-aligarh
364,Delhi to Etah (Uttar Pradesh),From INR 305,48 bus options,First Bus : 01:30,Last Bus : 22:01,BOOK NOW,https://www.redbus.in/bus-tickets/delhi-to-etah-up
365,Delhi to Kotdwar (Uttarakhand),From INR 320,13 bus options,First Bus : 04:30,Last Bus : 19:15,BOOK NOW,https://www.redbus.in/bus-tickets/delhi-to-kotdwar
366,Allahabad to Varanasi,From INR 200,18 bus options,First Bus : 00:07,Last Bus : 21:10,BOOK NOW,https://www.redbus.in/bus-tickets/allahabad-to-varanasi
367,Delhi to Moradabad,From INR 274,44 bus options,First Bus : 05:00,Last Bus : 23:00,BOOK NOW,https://www.redbus.in/bus-tickets/delhi-to-moradabad
368,Varanasi to Allahabad,From INR 200,19 bus options,First Bus : 03:20,Last Bus : 23:01,BOOK NOW,https://www.redbus.in/bus-tickets/varanasi-to-allahabad
369,Lucknow to Jaunpur,From INR 364,27 bus options,First Bus : 07:00,Last Bus : 23:00,BOOK NOW,https://www.redbus.in/bus-tickets/lucknow-to-jaunpur
370,Aligarh (uttar pradesh) to Haridwar,From INR 469,7 bus options,First Bus : 09:15,Last Bus : 23:00,BOOK NOW,https://www.redbus.in/bus-tickets/aligarh-to-haridwar
371,Shahjahanpur (Uttar Pradesh) to Delhi,From INR 533,26 bus options,First Bus : 07:00,Last Bus : 23:15,BOOK NOW,https://www.redbus.in/bus-tickets/shahjahanpur-to-delhi
372,Lucknow to Azamgarh,From INR 407,93 bus options,First Bus : 06:00,Last Bus : 23:30,BOOK NOW,https://www.redbus.in/bus-tickets/lucknow-to-azamgarh
373,Jaunpur to Lucknow,From INR 376,22 bus options,First Bus : 00:16,Last Bus : 23:56,BOOK NOW,https://www.redbus.in/bus-tickets/jaunpur-to-lucknow
374,Kanpur (Uttar Pradesh) to Lucknow,From INR 138,185 bus options,First Bus : 01:00,Last Bus : 23:59,BOOK NOW,https://www.redbus.in/bus-tickets/kanpur-to-lucknow
375,Agra to Haridwar,From INR 595,6 bus options,First Bus : 07:00,Last Bus : 20:30,BOOK NOW,https://www.redbus.in/bus-tickets/agra-to-haridwar
376,Lucknow to Gorakhpur (uttar pradesh),From INR 413,122 bus options,First Bus : 00:01,Last Bus : 23:10,BOOK NOW,https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur
377,Delhi to Haldwani,From INR 476,11 bus options,First Bus : 06:30,Last Bus : 19:30,BOOK NOW,https://www.redbus.in/bus-tickets/delhi-to-haldwani
